r_time:13:36:56 01.08.2022 | Trade:048 | pos:1 | len:2 | approx_cum_ret:2.98% | trade_ret:0.42% | eps:0.0010 | t_time:2010-05-07 09:45:00-04:00 | idx:6710
r_time:13:39:47 01.08.2022 | Trade:049 | pos:-1 | len:27 | approx_cum_ret:4.06% | trade_ret:1.07% | eps:0.0010 | t_time:2010-05-07 12:05:00-04:00 | idx:6738
r_time:13:40:08 01.08.2022 | Trade:050 | pos:1 | len:2 | approx_cum_ret:4.50% | trade_ret:0.44% | eps:0.0010 | t_time:2010-05-07 12:20:00-04:00 | idx:6741
----saving weights, trade logs and replay buffer-----
r_time:13:41:54 01.08.2022 | Trade:051 | pos:1 | len:15 | approx_cum_ret:3.64% | trade_ret:-0.86% | eps:0.0010 | t_time:2010-05-07 13:40:00-04:00 | idx:6757
r_time:13:44:52 01.08.2022 | Trade:052 | pos:-1 | len:27 | approx_cum_ret:4.45% | trade_ret:0.81% | eps:0.0010 | t_time:2010-05-07 16:00:00-04:00 | idx:6785
r_time:13:45:11 01.08.2022 | Trade:053 | pos:1 | len:2 | approx_cum_ret:8.86% | trade_ret:4.41% | eps:0.0010 | t_time:2010-05-10 09:45:00-04:00 | idx:6788
r_time:13:49:59 01.08.2022 | Trade:054 | pos:-1 | len:41 | approx_cum_ret:9.92% | trade_ret:1.06% | eps:0.0010 | t_time:2010-05-10 13:15:00-04:00 | idx:6830
r_time:13:56:42 01.08.2022 | Trade:055 | pos:-1 | len:60 | approx_cum_ret:8.70% | trade_ret:-1.22% | eps:0.0010 | t_time:2010-05-11 11:50:00-04:00 | idx:6891
r_time:13:56:58 01.08.2022 | Trade:056 | pos:-1 | len:2 | approx_cum_ret:8.62% | trade_ret:-0.08% | eps:0.0010 | t_time:2010-05-11 12:05:00-04:00 | idx:6894
r_time:14:04:37 01.08.2022 | Trade:057 | pos:-1 | len:67 | approx_cum_ret:8.14% | trade_ret:-0.48% | eps:0.0010 | t_time:2010-05-12 11:15:00-04:00 | idx:6962
r_time:14:05:01 01.08.2022 | Trade:058 | pos:1 | len:2 | approx_cum_ret:7.79% | trade_ret:-0.35% | eps:0.0010 | t_time:2010-05-12 11:30:00-04:00 | idx:6965
r_time:14:05:38 01.08.2022 | Trade:059 | pos:-1 | len:5 | approx_cum_ret:7.69% | trade_ret:-0.10% | eps:0.0010 | t_time:2010-05-12 12:00:00-04:00 | idx:6971
r_time:14:06:47 01.08.2022 | Trade:060 | pos:1 | len:9 | approx_cum_ret:7.81% | trade_ret:0.12% | eps:0.0010 | t_time:2010-05-12 12:50:00-04:00 | idx:6981
----saving weights, trade logs and replay buffer-----
r_time:14:07:09 01.08.2022 | Trade:061 | pos:-1 | len:2 | approx_cum_ret:7.68% | trade_ret:-0.13% | eps:0.0010 | t_time:2010-05-12 13:05:00-04:00 | idx:6984
r_time:14:08:08 01.08.2022 | Trade:062 | pos:-1 | len:9 | approx_cum_ret:7.67% | trade_ret:-0.02% | eps:0.0010 | t_time:2010-05-12 13:55:00-04:00 | idx:6994
r_time:14:09:20 01.08.2022 | Trade:063 | pos:1 | len:10 | approx_cum_ret:7.88% | trade_ret:0.21% | eps:0.0010 | t_time:2010-05-12 14:50:00-04:00 | idx:7005
r_time:14:10:07 01.08.2022 | Trade:064 | pos:-1 | len:6 | approx_cum_ret:7.84% | trade_ret:-0.04% | eps:0.0010 | t_time:2010-05-12 15:25:00-04:00 | idx:7012
r_time:14:10:44 01.08.2022 | Trade:065 | pos:-1 | len:6 | approx_cum_ret:7.62% | trade_ret:-0.22% | eps:0.0010 | t_time:2010-05-12 16:00:00-04:00 | idx:7019
r_time:14:11:02 01.08.2022 | Trade:066 | pos:1 | len:2 | approx_cum_ret:7.19% | trade_ret:-0.43% | eps:0.0010 | t_time:2010-05-13 09:45:00-04:00 | idx:7022
r_time:14:12:49 01.08.2022 | Trade:067 | pos:-1 | len:14 | approx_cum_ret:7.29% | trade_ret:0.10% | eps:0.0010 | t_time:2010-05-13 11:10:00-04:00 | idx:7039
r_time:14:13:11 01.08.2022 | Trade:068 | pos:1 | len:2 | approx_cum_ret:7.38% | trade_ret:0.09% | eps:0.0010 | t_time:2010-05-13 11:25:00-04:00 | idx:7042
r_time:14:14:04 01.08.2022 | Trade:069 | pos:1 | len:7 | approx_cum_ret:7.02% | trade_ret:-0.37% | eps:0.0010 | t_time:2010-05-13 12:05:00-04:00 | idx:7050
r_time:14:15:30 01.08.2022 | Trade:070 | pos:1 | len:13 | approx_cum_ret:7.03% | trade_ret:0.02% | eps:0.0010 | t_time:2010-05-13 13:15:00-04:00 | idx:7064
----saving weights, trade logs and replay buffer-----
r_time:14:15:46 01.08.2022 | Trade:071 | pos:1 | len:2 | approx_cum_ret:7.08% | trade_ret:0.04% | eps:0.0010 | t_time:2010-05-13 13:30:00-04:00 | idx:7067
r_time:14:17:11 01.08.2022 | Trade:072 | pos:-1 | len:12 | approx_cum_ret:7.14% | trade_ret:0.07% | eps:0.0010 | t_time:2010-05-13 14:35:00-04:00 | idx:7080
r_time:14:36:20 01.08.2022 | Trade:073 | pos:1 | len:180 | approx_cum_ret:5.00% | trade_ret:-2.14% | eps:0.0010 | t_time:2010-05-18 10:10:00-04:00 | idx:7261
